timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1653499324189,125,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.100.4:80 failed to respond,Thread Group 1-42,text,false,,2082,0,128,128,http://192.168.100.4/,0,0,0
1653499324186,130,HTTP Request,200,OK,Thread Group 1-69,text,true,,11228,118,129,129,http://192.168.100.4/,126,0,0
1653499324187,129,HTTP Request,200,OK,Thread Group 1-26,text,true,,11228,118,130,130,http://192.168.100.4/,125,0,0
1653499324187,129,HTTP Request,200,OK,Thread Group 1-59,text,true,,11228,118,130,130,http://192.168.100.4/,125,0,0
1653499324187,129,HTTP Request,200,OK,Thread Group 1-30,text,true,,11228,118,130,130,http://192.168.100.4/,125,0,0
1653499324187,131,HTTP Request,200,OK,Thread Group 1-57,text,true,,11228,118,131,131,http://192.168.100.4/,126,0,0
1653499324187,132,HTTP Request,200,OK,Thread Group 1-44,text,true,,11228,118,131,131,http://192.168.100.4/,128,0,0
1653499324188,131,HTTP Request,200,OK,Thread Group 1-25,text,true,,11228,118,131,131,http://192.168.100.4/,128,0,0
1653499324087,233,HTTP Request,200,OK,Thread Group 1-36,text,true,,11229,118,131,131,http://192.168.100.4/,232,0,49
1653499324149,171,HTTP Request,200,OK,Thread Group 1-75,text,true,,11229,118,131,131,http://192.168.100.4/,171,0,19
1653499324185,136,HTTP Request,200,OK,Thread Group 1-49,text,true,,11228,118,132,132,http://192.168.100.4/,135,0,0
1653499324314,8,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.100.4:80 failed to respond,Thread Group 1-64,text,false,,2082,0,132,132,http://192.168.100.4/,0,0,0
1653499324221,125,HTTP Request,200,OK,Thread Group 1-97,text,true,,11229,118,132,132,http://192.168.100.4/,125,0,28
1653499324316,30,HTTP Request,200,OK,Thread Group 1-69,text,true,,11228,118,132,132,http://192.168.100.4/,30,0,0
1653499324194,152,HTTP Request,200,OK,Thread Group 1-86,text,true,,11229,118,132,132,http://192.168.100.4/,152,0,2
1653499324194,152,HTTP Request,200,OK,Thread Group 1-91,text,true,,11229,118,132,132,http://192.168.100.4/,152,0,2
1653499324320,3,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.100.4:80 failed to respond,Thread Group 1-44,text,false,,2082,0,132,132,http://192.168.100.4/,0,0,0
1653499324218,128,HTTP Request,200,OK,Thread Group 1-99,text,true,,11229,118,132,132,http://192.168.100.4/,128,0,30
1653499324312,34,HTTP Request,200,OK,Thread Group 1-31,text,true,,11228,118,132,132,http://192.168.100.4/,34,0,0
1653499324320,26,HTTP Request,200,OK,Thread Group 1-25,text,true,,11228,118,132,132,http://192.168.100.4/,26,0,0
1653499324227,119,HTTP Request,200,OK,Thread Group 1-98,text,true,,11229,118,132,132,http://192.168.100.4/,119,0,23
1653499324314,35,HTTP Request,200,OK,Thread Group 1-60,text,true,,11228,118,130,130,http://192.168.100.4/,35,0,0
1653499324313,36,HTTP Request,200,OK,Thread Group 1-62,text,true,,11228,118,129,129,http://192.168.100.4/,36,0,0
1653499324312,37,HTTP Request,200,OK,Thread Group 1-63,text,true,,11228,118,130,129,http://192.168.100.4/,37,0,0
1653499324313,36,HTTP Request,200,OK,Thread Group 1-71,text,true,,11228,118,129,129,http://192.168.100.4/,36,0,0
1653499324222,124,HTTP Request,200,OK,Thread Group 1-100,text,true,,11229,118,132,132,http://192.168.100.4/,124,0,27
1653499324245,112,HTTP Request,200,OK,Thread Group 1-108,text,true,,11229,118,125,125,http://192.168.100.4/,112,0,7
1653499324281,76,HTTP Request,200,OK,Thread Group 1-120,text,true,,11229,118,125,125,http://192.168.100.4/,76,0,3
1653499324132,225,HTTP Request,200,OK,Thread Group 1-70,text,true,,11229,118,125,125,http://192.168.100.4/,225,0,10
1653499324287,69,HTTP Request,200,OK,Thread Group 1-118,text,true,,11229,118,126,125,http://192.168.100.4/,69,0,2
1653499324317,47,HTTP Request,200,OK,Thread Group 1-129,text,true,,11229,118,126,126,http://192.168.100.4/,47,0,3
1653499324234,130,HTTP Request,200,OK,Thread Group 1-104,text,true,,11229,118,126,126,http://192.168.100.4/,129,0,17
1653499324278,86,HTTP Request,200,OK,Thread Group 1-119,text,true,,11229,118,126,126,http://192.168.100.4/,86,0,2
1653499324318,38,HTTP Request,200,OK,Thread Group 1-130,text,true,,11229,118,126,126,http://192.168.100.4/,38,0,2
1653499324323,42,HTTP Request,200,OK,Thread Group 1-134,text,true,,11229,118,127,127,http://192.168.100.4/,42,0,33
1653499324346,19,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.100.4:80 failed to respond,Thread Group 1-91,text,false,,2082,0,127,127,http://192.168.100.4/,0,0,0
1653499324238,123,HTTP Request,200,OK,Thread Group 1-20,text,true,,11229,118,127,127,http://192.168.100.4/,122,0,13
1653499324248,117,HTTP Request,200,OK,Thread Group 1-102,text,true,,11229,118,126,126,http://192.168.100.4/,117,0,12
1653499324259,106,HTTP Request,200,OK,Thread Group 1-112,text,true,,11229,118,126,126,http://192.168.100.4/,106,0,3
1653499324301,65,HTTP Request,200,OK,Thread Group 1-16,text,true,,11229,118,126,126,http://192.168.100.4/,65,0,13
1653499324314,42,HTTP Request,200,OK,Thread Group 1-76,text,true,,11229,118,126,126,http://192.168.100.4/,41,0,5
1653499324291,65,HTTP Request,200,OK,Thread Group 1-123,text,true,,11229,118,126,126,http://192.168.100.4/,65,0,1
1653499324292,64,HTTP Request,200,OK,Thread Group 1-121,text,true,,11229,118,126,126,http://192.168.100.4/,64,0,2
1653499324314,42,HTTP Request,200,OK,Thread Group 1-24,text,true,,11229,118,126,126,http://192.168.100.4/,42,0,5
1653499324296,60,HTTP Request,200,OK,Thread Group 1-122,text,true,,11229,118,126,126,http://192.168.100.4/,60,0,1
1653499324306,50,HTTP Request,200,OK,Thread Group 1-128,text,true,,11229,118,126,124,http://192.168.100.4/,50,0,6
1653499324230,126,HTTP Request,200,OK,Thread Group 1-103,text,true,,11229,118,126,124,http://192.168.100.4/,126,0,21
1653499324305,51,HTTP Request,200,OK,Thread Group 1-28,text,true,,11229,118,126,124,http://192.168.100.4/,51,0,8
1653499324375,5,HTTP Request,200,OK,Thread Group 1-123,text,true,,11228,118,124,124,http://192.168.100.4/,5,0,0
1653499324375,5,HTTP Request,200,OK,Thread Group 1-121,text,true,,11228,118,124,124,http://192.168.100.4/,5,0,0
